key,source,translation
btn_craft_garden,Done,เสร็จสิ้น
craft_pick_res_hint_surv,Pick an item to study,เลือกสิ่งของที่จะศึกษา
btn_craft_surv,Study,ศึกษา
science_decompose,Decomposing this item will give you %1.,การแยกส่วนสิ่งของนี้จะให้ %1
btn_science_decompose,Decompose,แยกส่วน
hint_science_decompose,Can be decomposed on the Study Table to get (sci)%1.,แยกส่วนบนโต๊ะศึกษาเพื่อรับ (sci)%1 ได้
mf_alchemy_survey,Study Table,โต๊ะศึกษา
change,Choose,เลือก
buy,Buy,ซื้อ
enter,Enter,เข้า
work,Work,ทำงาน
builds,Builds,สิ่งก่อสร้าง
build,Build,สร้าง
place,Place,วาง
remove,Remove,รื้อถอน
cancel removing,Cancel removing,ยกเลิกการรื้อถอน
building,Building,การก่อสร้าง
_remove_,Remove,รื้อถอน
door_closed,The door is locked.,ประตูล็อกอยู่
tab_Inventory,Character,ตัวละคร
tab_Techs,Technologies,เทคโนโลยี
tab_NPCs,Known NPCs,ตัวละครที่รู้จัก
choose item,Choose item,เลือกสิ่งของ
choose another,Choose another,เลือกชิ้นอื่น
craft time,Craft time,เวลาผลิต
ingredients,Ingredients,วัตถุดิบ
Buffs,Buffs,บัฟ
txt_no_buffs,No active buffs,ไม่มีบัฟที่ทำงานอยู่
perk,Perk,ความสามารถพิเศษ
Perks,Perks,ความสามารถพิเศษ
txt_no_perks,You have no perks,คุณยังไม่มีความสามารถพิเศษ
gathering,Gathering,เก็บรวบรวม
txt_no_body,No body,ไม่มีศพ
task_bubble_visible,New task,งานใหม่
task_bubble_complete,Task completed,งานเสร็จแล้ว
buff_tired,Tired,เหนื่อยล้า
buff_tired_d,You need to sleep or you'll keep losing energy.,คุณต้องนอน มิฉะนั้นพลังงานจะลดลงเรื่อย ๆ
buff_plant,Fertility,ความอุดมสมบูรณ์
buff_plant_d,Vegetables grow faster.,ผักเติบโตเร็วขึ้น
buff_sins,Repentance,การสำนึกบาป
buff_sins_d,More people come during the week to confess their sins.,มีผู้คนมาสารภาพบาประหว่างสัปดาห์มากขึ้น
buff_skull,Difficult corpses,ศพจัดการยาก
buff_skull_d,Donkey brings corpses with more (skull) and (rskull).,ลานำศพที่มี (skull) และ (rskull) มากขึ้นมาส่ง
buff_pen,Inspiration,แรงบันดาลใจ
buff_pen_d,You have a better chance to write something of good quality.,คุณมีโอกาสเขียนผลงานคุณภาพดีมากขึ้น
buff_star,Handyman mood,อารมณ์ช่างสารพัด
buff_star_d,You have a better chance to craft something of good quality.,คุณมีโอกาสผลิตสิ่งของคุณภาพดีมากขึ้น
buff_sword,Rage,ความเดือดดาล
buff_sword_d,You deal additional damage to monsters.,คุณสร้างความเสียหายต่อมอนสเตอร์เพิ่มขึ้น
buff_shield,Tough mood,อารมณ์แข็งแกร่ง
buff_shield_d,Incoming damage is reduced.,ความเสียหายที่ได้รับลดลง
buff_pot_damage,Rage potion,น้ำยาเดือดดาล
buff_pot_damage_d,You deal additional damage to monsters.,คุณสร้างความเสียหายต่อมอนสเตอร์เพิ่มขึ้น
buff_pot_berserk,Berserk potion,น้ำยาบ้าระห่ำ
buff_pot_berserk_d,You have deal a lot of damage but also lose (hp) over time.,คุณสร้างความเสียหายได้มหาศาล แต่จะสูญเสีย (hp) ไปเรื่อย ๆ
buff_pot_armor,Protection potion,น้ำยาป้องกัน
buff_pot_armor_d,Incoming damage reduced.,ความเสียหายที่ได้รับลดลง
buff_pot_heal_long,Restoring potion,น้ำยาฟื้นฟู
buff_pot_heal_long_d,Restore your (hp) over time.,ฟื้นฟู (hp) ของคุณอย่างต่อเนื่อง
buff_pot_appetite,Digestion potion,น้ำยาช่วยย่อย
buff_pot_appetite_d,Food gives you more (en).,อาหารให้ (en) มากขึ้น
select body part,Select a body part,เลือกชิ้นส่วนร่างกาย
extract,Extract,นำออก
no body,No body,ไม่มีศพ
preview,Preview,ดูตัวอย่าง
autopsy,Autopsy,ชันสูตรศพ
hdr_autopsy_empty,Empty autopsy table,โต๊ะชันสูตรศพที่ว่างอยู่
hdr_autopsy_body,Autopsy table with body,โต๊ะชันสูตรศพที่มีศพ
body_descr,,
grave_empty_hdr,Empty grave,หลุมศพที่ว่างอยู่
grave_body_hdr,Grave with a body,หลุมศพที่มีศพ
grave_total_q,Total grave quality,คุณภาพรวมของหลุมศพ
exhume,Exhume,ขุดศพขึ้น
exhume_confirmation,To exhume a body you need to have:,การขุดศพขึ้นต้องมี:
exhume_confirmation_bot,Are you sure you want to exhume the body?,แน่ใจหรือไม่ว่าต้องการขุดศพขึ้น?
remove_grpart_confirm,Are you sure you want to remove this part of the grave?,แน่ใจหรือไม่ว่าต้องการนำส่วนนี้ของหลุมศพออก?
no_grave_cross,No gravestone,ไม่มีป้ายหลุมศพ
no_grave_fence,No grave fence,ไม่มีรั้วหลุมศพ
fix_grave_craft_cross,Fix gravestone,ซ่อมป้ายหลุมศพ
fix_grave_craft_fence,Fix grave fence,ซ่อมรั้วหลุมศพ
body_parts,Body parts:,ชิ้นส่วนร่างกาย:
autopsy_remove_body,Empty table,นำศพออกจากโต๊ะ
pick_embalming,Pick an embalming fluid to apply.,เลือกน้ำยาดองศพที่จะใช้
embalming_effect,Embalming effect:,ผลจากการดองศพ:
hint_embalm,This liquid can be applied to a body on the embalming table to modify its characteristics.,ใช้น้ำยานี้กับศพบนโต๊ะดองศพเพื่อปรับคุณสมบัติของศพได้
embalm_not_enough,You can't apply this liquid because the body doesn't have enough %1.,ใช้น้ำยานี้ไม่ได้ เพราะศพมี %1 ไม่เพียงพอ
embalm_already_applied,You can't embalm a body with the same liquid twice.,คุณดองศพด้วยน้ำยาชนิดเดิมซ้ำสองครั้งไม่ได้
survey,Study,ศึกษา
survey_complete,complete,เสร็จสมบูรณ์
survey_not_complete,not complete,ยังไม่สมบูรณ์
alch_survey_hdr,Alchemical study,การศึกษาการเล่นแร่แปรธาตุ
alch_not_complete,NOT COMPLETE,ยังไม่สมบูรณ์
alch_decompose,Decomposes into,แยกส่วนได้เป็น
alch_decompose_full,This item can be decomposed into,สิ่งของนี้แยกส่วนได้เป็น
alch_slots,Alchemically compatible slots,ช่องเล่นแร่แปรธาตุที่ใช้ร่วมกันได้
alch_slots_full,This item can be used in the following alchemical slots,สิ่งของนี้ใช้ในช่องเล่นแร่แปรธาตุต่อไปนี้ได้
alc_d_tier,TIER,ระดับ
alc_ingr_1,powder,ผง
alc_ingr_2,fluid,ของเหลว
alc_ingr_3,essence,สารสกัด
church_pulpit,Preaching,เทศนา
preach_pick_res_hint,Select a sermon,เลือกบทเทศนา
preach_params,%1 needed to guarantee a successful ceremony.,ต้องมี %1 เพื่อให้พิธีสำเร็จแน่นอน
pray_gui_church_q,Church quality: %1,คุณภาพโบสถ์: %1
pray_gui_sermon_needs,Sermon needs: %1,บทเทศนาต้องการ: %1
sermon_success_chance,Success chance: %1,โอกาสสำเร็จ: %1
preach_params_2,Effect:,ผล:
sermon_money_k,Sermon money: %1,เงินจากการเทศนา: %1
sermon_faith_k,Sermon faith: %1,ศรัทธาจากการเทศนา: %1
sermon_report_header,Sermon Report,รายงานการเทศนา
serm_res_people,Visitors came,จำนวนผู้เข้าร่วม
serm_res_faith,Faith received,ศรัทธาที่ได้รับ
serm_res_faith_bonus,Faith bonus,ศรัทธาโบนัส
serm_res_money,Donations collected,เงินบริจาคที่ได้รับ
serm_res_money_bonus,Money bonus,เงินโบนัส
serm_res_success,Result,ผลลัพธ์
serm_res_0,Failed,ล้มเหลว
serm_res_1,Success,สำเร็จ
tool_energy_spend,Energy consumption: %1,พลังงานที่ใช้: %1
tool_eff_hint,Tool efficiency: %1,ประสิทธิภาพเครื่องมือ: %1
btn_try_pray,Try pray,ลองสวดภาวนา
btn_pray,Pray,สวดภาวนา
pray_result_ok,Your preaching was successful.,การเทศนาของคุณสำเร็จ
pray_result_fail,Your preaching was a failure. Try increasing your church quality (cross) to increase your chances of success.,การเทศนาของคุณล้มเหลว ลองเพิ่มคุณภาพโบสถ์ (cross) เพื่อเพิ่มโอกาสสำเร็จ
tech_is_hidden,This technology is hidden. You will reveal it somehow...,เทคโนโลยีนี้ยังซ่อนอยู่ คุณจะพบวิธีเปิดเผยมันสักทาง...
tech_cant_be_unlocked,You can't manually unlock this technology.,คุณปลดล็อกเทคโนโลยีนี้ด้วยตนเองไม่ได้
unlock,Unlock,ปลดล็อก
youve_unlocked_tech,You've unlocked a new technology and got:,คุณปลดล็อกเทคโนโลยีใหม่และได้รับ:
cancel,Cancel,ยกเลิก
recipe,Create,สร้าง
blueprint,Blueprint,แบบแปลน
loading_news,Loading news,กำลังโหลดข่าวสาร
wake up,Wake up,ตื่นนอน
relation,Relation,ความสัมพันธ์
price_dialog_total,Total order price:,ราคารวมของคำสั่งซื้อ:
place_for_wood,Place for wood logs,ที่วางท่อนไม้
place_for_stone,Place for stones,ที่วางหิน
start_fishing,Start fishing,เริ่มตกปลา
fish_casting_hint,Hold %1 to start casting.,กด %1 ค้างไว้เพื่อเริ่มเหวี่ยงเบ็ด
fish_casting_hint_2,Release %1 to cast.,ปล่อย %1 เพื่อเหวี่ยงเบ็ด
pull_fish,Hook him,ตวัดเบ็ด
bump_fish,Pull,ดึง
no_bait,No bait selected,ยังไม่ได้เลือกเหยื่อ
no_bait_descr,Different baits affect the chance of getting different fish types.,เหยื่อต่างชนิดกันส่งผลต่อโอกาสตกปลาชนิดต่าง ๆ ได้
Leave,Leave.,ออก
n_of,%1 (of %2),%1 (จาก %2)
items_tier,Tier,ระดับ
vendor_tier_lock_info,These items are locked until the vendor gets to Tier %1.,สิ่งของเหล่านี้จะปลดล็อกเมื่อผู้ขายขึ้นถึงระดับ %1
tool_broken_txt,Your tool (%1) has broken. You need to fix it to continue using it.,เครื่องมือของคุณ (%1) ชำรุดแล้ว ต้องซ่อมก่อนจึงจะใช้ต่อได้
suicide_btn,Suicide,ฆ่าตัวตาย
suicide_message,Are you sure you want to kill yourself? (You will be respawned at home),แน่ใจหรือไม่ว่าต้องการฆ่าตัวตาย? (คุณจะเกิดใหม่ที่บ้าน)
church_pulpit_infobox,Prayer will be available again next (d6).,สวดภาวนาได้อีกครั้งในวัน (d6) ถัดไป
obstruction_place,There's no way I can remove it.,ฉันไม่มีทางเอามันออกได้เลย
carve_out_hint,Clear out,กำจัด
put_hint,Put,ใส่
exam_hint,Examine,สำรวจ
craft_hint,Craft,ผลิต
talk_hint,Talk,พูดคุย
take_hint,Take,หยิบ
put_the_corpse_hint,Inter the corpse,วางศพลงหลุม
grave_hint,Grave,หลุมศพ
enter_hint,Enter,เข้า
repair_hint,Repair,ซ่อม
OLD_teleport_hint,Teleport,เทเลพอร์ต
autopsy_hint,Autopsy,ชันสูตรศพ
balsamation_hint,Embalmment,ดองศพ
exit_hint,Exit,ออก
take_corpse_hint,Take corpse,หยิบศพ
kill_hint,Kill,ฆ่า
read_hint,Read,อ่าน
trade_hint,Trade,ค้าขาย
check_hint,Check,ตรวจสอบ
sleep_hint,Sleep,นอน
cook_hint,Cook,ทำอาหาร
open_hint,Open,เปิด
start_praying_hint,Start praying,เริ่มสวดภาวนา
plant_hint,Plant,ปลูก
pray_hint,Pray,สวดภาวนา
break_down_hint,Break down,รื้อทำลาย
dig_up_hint,Dig up,ขุดขึ้น
survey_hint,Study,ศึกษา
zone_mf_wood,Workyard,ลานงาน
zone_graveyard,Old graveyard,สุสานเก่า
zone_morgue,Morgue,ห้องเก็บศพ
zone_home,Sweet home,บ้านแสนสุข
zone_cellar,Cellar,ห้องใต้ดิน
zone_farm,Wheat farm,ไร่ข้าวสาลี
zone_hill,Witch Hill,เนินแม่มด
zone_vilage,The Village,หมู่บ้าน
zone_tavern,Dead Horse,ม้าตาย
zone_garden,Kitchen garden,สวนครัว
zone_church,Church,โบสถ์
zone_flat_under_waterflow,Forest near the river,ป่าริมแม่น้ำ
zone_swamp,Swamp,บึง
zone_witch_hut,Witch's land,ที่ดินของแม่มด
zone_wheat_land,Wheat farm,ไร่ข้าวสาลี
zone_beatch,Beach,ชายหาด
zone_forest_under_village,Forest,ป่า
zone_east_border,Outpost,ด่านหน้า
zone_sealight,Lighthouse,ประภาคาร
zone_right_to_player_house,Vineyard,ไร่องุ่น
zone_camp,Camp,ค่ายพัก
zone_beegarden,Apiary,ลานเลี้ยงผึ้ง
zone_tree_garden,Garden,สวน
zone_alchemy,Alchemy laboratory,ห้องทดลองเล่นแร่แปรธาตุ
zone_vineyard,Vineyard,ไร่องุ่น
talking_skull,Gerry,เจอร์รี
player,Graveyard Keeper,ผู้ดูแลสุสาน
egg_seller,Fresh eggs,ไข่สด
egg_seller_info,Fresh eggs,ไข่สด
npc_royal_box,Royal Services,บริการราชสำนัก
npc_farmer,Farmer,ชาวนา
npc_farmers son,Farmer's son,ลูกชายชาวนา
npc_beekeeper,Beekeeper,คนเลี้ยงผึ้ง
npc_carpenter,Tress,เทรส
npc_engineer,Cory,คอรี
npc_captain,Captain,กัปตัน
npc_mrs chain,Miss Chain,มิสเชน
npc_actor,Vagner,วากเนอร์
npc_tavern owner,Horadric,โฮราดริก
npc_actress,Ms Charm,มิสชาร์ม
npc_redneck_1,Villager,ชาวบ้าน
npc_guard,Guardian,ทหารยาม
npc_shepherd,Shepherd,คนเลี้ยงแกะ
npc_shepherds_wife,Rosa,โรซา
npc_guard_2,Guardian,ทหารยาม
desc_npc_guard_2,,
npc_witch,Clotho,โคลโธ
donkey,Donkey,ลา
npc_dig,Dig,ดิก
npc_bishop,Bishop,บิชอป
npc_miller,Miller,คนโม่แป้ง
npc_blacksmith,Krezvold,เครซโวลด์
npc_inquisitor,Inquisitor,ท่านผู้ไต่สวน
npc_merchant,Merchant,พ่อค้า
npc_astrologer,Astrologer,นักโหราศาสตร์
npc_light_keeper,Lighthouse keeper,คนเฝ้าประภาคาร
npc_cultist,Snake,สเนก
desc_npc_royal_box,-,-
player_inventory,Inventory,สัมภาระ
vendor_inventory,Vendor,ผู้ขาย
chest_inventory,Chest,หีบ
mf_timber_1_inventory,Timber stockpile,กองไม้
mf_stones_1_inventory,Stone stockpile,กองหิน
mf_ore_1_complete_inventory,Iron ore stockpile,กองแร่เหล็ก
priest_speakable,Priest,บาทหลวง
priest_speakable_desc,Stupid mate,เพื่อนจอมโง่
no_axe_bubble,Need an axe,ต้องใช้ขวาน
no_pickaxe_bubble,Need a pickaxe,ต้องใช้อีเต้อ
no_shovel_bubble,Need a shovel,ต้องใช้พลั่ว
no_tech_bubble,Need a technology,ต้องมีเทคโนโลยี
no_hammer_bubble,Need a hammer,ต้องใช้ค้อน
no_fishing_rod_bubble,Need a fishing rod,ต้องใช้คันเบ็ด
Too rested for sleep,I'm not tired and don't want to sleep.,ฉันยังไม่เหนื่อยและไม่อยากนอน
So fresh!,I'm so refreshed!,สดชื่นจริง ๆ!
hatch_closed,The hatch is closed for now.,ตอนนี้ฝาประตูยังปิดอยู่
tut_grave_1,"Use the <blueprint desk> at the graveyard. Mark a site for the grave, then dig it with your shovel.",ใช้ <โต๊ะแบบแปลน> ที่สุสาน กำหนดจุดที่จะสร้างหลุมศพ แล้วใช้พลั่วขุด
tut_grave_2,Carefully put the body (or what remains of it) in the grave. Bury. Decorate.,วางศพ (หรือส่วนที่เหลือของศพ) ลงในหลุมอย่างระมัดระวัง กลบหลุม แล้วตกแต่ง
tut_grave_3,WARNING!!! Do not use goat skulls and upside down stars for decoration!,คำเตือน!!! ห้ามใช้หัวกะโหลกแพะและดาวกลับหัวตกแต่งเด็ดขาด!
tut_location,Location,สถานที่
tut_zone_1,Current location name,ชื่อสถานที่ปัจจุบัน
tut_zone_2,"Important location information:
The graveyard quality ((wskull)), the church appeal ((cross)), etc.","ข้อมูลสำคัญของสถานที่:
คุณภาพสุสาน ((wskull)), ความน่าดึงดูดของโบสถ์ ((cross)) เป็นต้น"
tut_zone_3,<Repair Graves> to increase the graveyard's overall quality.,<ซ่อมหลุมศพ> เพื่อเพิ่มคุณภาพโดยรวมของสุสาน
tut_zone_4,You'll probably need special resources to do that...,คุณอาจต้องใช้ทรัพยากรพิเศษเพื่อทำเช่นนั้น...
tut_build_hdr,Tutorial: Building,สอนเล่น: การก่อสร้าง
tut_build_1,Use a <blueprint desk> to access the building interface and start building or removing an object in the area.,ใช้ <โต๊ะแบบแปลน> เพื่อเปิดหน้าก่อสร้าง แล้วเริ่มสร้างหรือรื้อถอนสิ่งของในบริเวณนั้น
tut_build_2,Some objects will be built immediately.,สิ่งของบางอย่างจะสร้างเสร็จทันที
tut_build_3,Some of them will need a little extra work with your <Hammer>. This will spend time and <Energy>.,บางอย่างต้องใช้ <ค้อน> ทำงานเพิ่มเติมอีกเล็กน้อย ซึ่งจะใช้เวลาและ <พลังงาน>
tut_energy_hdr,Tutorial: Energy,สอนเล่น: พลังงาน
tut_energy_1,"Different actions in the game spend your <Energy> ((en)).

Crafting, gathering, and fighting take energy. Fighting has been known to take health as well. (Press %1 to attack)","การกระทำต่าง ๆ ในเกมใช้ <พลังงาน> ((en)) ของคุณ

การผลิต การเก็บรวบรวม และการต่อสู้ล้วนใช้พลังงาน การต่อสู้ยังอาจทำให้เสียพลังชีวิตด้วย (กด %1 เพื่อโจมตี)"
tut_energy_2,You can always refill your health and energy with <Food> and <Potions>. (Press %1 to open inventory.),คุณเติมพลังชีวิตและพลังงานด้วย <อาหาร> และ <น้ำยา> ได้เสมอ (กด %1 เพื่อเปิดสัมภาระ)
tut_energy_3,<Sleeping> will also restore your health and energy.,<การนอนหลับ> ช่วยฟื้นฟูพลังชีวิตและพลังงานได้เช่นกัน
tut_tech_hdr,Tutorial: Technologies,สอนเล่น: เทคโนโลยี
tut_tech_1,"To craft new items, you'll need to unlock the relevant technology. This costs tech points. (Press %1 to open the technology tree.)",คุณต้องปลดล็อกเทคโนโลยีที่เกี่ยวข้องเพื่อผลิตสิ่งของใหม่ โดยใช้แต้มเทคโนโลยี (กด %1 เพื่อเปิดผังเทคโนโลยี)
tut_tech_2,"Red points represent your hand-crafting skills, and your ability to work with materials.",แต้มสีแดงแสดงถึงทักษะงานฝีมือและความสามารถในการทำงานกับวัสดุ
tut_tech_3,Green points represent your knowledge about the nature of things and nature itself.,แต้มสีเขียวแสดงถึงความรู้เกี่ยวกับธรรมชาติของสิ่งต่าง ๆ และธรรมชาติรอบตัว
tut_tech_5,You earn points simply by doing anything. Also you can get points by studying new items at a special table.,คุณได้รับแต้มจากการทำกิจกรรมต่าง ๆ และยังได้แต้มจากการศึกษาสิ่งของใหม่ที่โต๊ะพิเศษด้วย
p_writer,Writer,นักเขียน
p_writer_d,You know how to put words together. Sometimes you even manage to write a good sentence. Mother would be proud.,คุณรู้วิธีเรียบเรียงถ้อยคำ บางครั้งก็เขียนประโยคดี ๆ ได้ด้วย แม่คงภูมิใจแน่
p_blacksmith,Blacksmith,ช่างตีเหล็ก
p_blacksmith_d,"You like to work with red-hot iron. Hammering relaxes you. And when the work is done, you always manage to find time to make extra nails.",คุณชอบทำงานกับเหล็กร้อนแดง การตีเหล็กช่วยให้ผ่อนคลาย และเมื่อเสร็จงาน คุณก็หาเวลาทำตะปูเพิ่มได้เสมอ
p_sword_master,Sword master,ปรมาจารย์ดาบ
p_sword_master_d,You know how to use your blade! You inflict additional damage and probably look cool with your sword.,คุณรู้วิธีใช้คมดาบ! คุณสร้างความเสียหายเพิ่มขึ้น และคงดูเท่ไม่น้อยเมื่อถือดาบ
p_big_guy,Big guy,ร่างกำยำ
p_big_guy_d,"It appears that if you work with iron a lot, you become big and strong. +1 damage, +1 defense.","ดูเหมือนว่าการทำงานกับเหล็กบ่อย ๆ จะทำให้ตัวใหญ่และแข็งแรงขึ้น ความเสียหาย +1, การป้องกัน +1"
p_woodworker,Carpenter,ช่างไม้
p_woodworker_d,You know how to deal with wood! Circular saws are more productive in your hands.,คุณรู้วิธีจัดการกับไม้! เลื่อยวงเดือนให้ผลผลิตมากขึ้นเมื่ออยู่ในมือคุณ
p_axeman,Axeman,คนตัดไม้
p_axeman_d,You know how to use an axe. Chopping a small tree can now give you an additional log. Also you can make more firewood and wedges from log chunks.,คุณใช้ขวานเป็น การตัดต้นไม้เล็กอาจให้ท่อนไม้เพิ่ม และคุณยังทำฟืนกับลิ่มไม้จากท่อนไม้ได้มากขึ้น
p_mason,Mason,ช่างหิน
p_mason_d,"Stones are your passion, so your stone carving is really good. Also you're so efficient that you can get an additional piece of stone from a big rock.",คุณหลงใหลในหิน จึงแกะสลักหินได้ดีมาก อีกทั้งทำงานได้คุ้มค่าจนได้หินเพิ่มจากก้อนหินใหญ่
p_miner,Miner,คนงานเหมือง
p_miner_d,"You are a true miner. You can find precious metals and ores more often, but it's still a matter of luck and energy.",คุณเป็นคนงานเหมืองตัวจริง พบโลหะมีค่าและแร่ได้บ่อยขึ้น แต่ก็ยังต้องอาศัยโชคและพลังงาน
p_jevelery,Jeweler,ช่างอัญมณี
p_jevelery_d,"You have a nose for gems, so you'll find them more often. Also you know how to make really nice jewelry.",คุณมีไหวพริบในการหาอัญมณี จึงพบมันบ่อยขึ้น อีกทั้งยังทำเครื่องประดับได้งดงามด้วย
p_master_potter,Master potter,ยอดช่างปั้น
p_master_potter_d,"A piece of clay, twisting in your hands — and BAM! It's a masterpiece!",ดินเหนียวก้อนหนึ่งหมุนไปมาในมือคุณ แล้วตู้ม! ก็กลายเป็นผลงานชิ้นเอก!
p_fireman,Fireman,ผู้เชี่ยวชาญไฟ
p_fireman_d,"The spurting flame charms you. You know a lot about fire, so you know how to increase your furnace productivity, and you can smelt more ore per load.",คุณหลงเสน่ห์เปลวไฟที่พวยพุ่ง คุณรู้เรื่องไฟมากพอที่จะเพิ่มผลผลิตของเตาหลอมและถลุงแร่ได้มากขึ้นต่อครั้ง
p_engineer,Engineer,วิศวกร
p_engineer_d,You know how complex mechanisms work. All the details of your work are top quality. Even your carving and jewelry look cleaner.,คุณเข้าใจการทำงานของกลไกซับซ้อน ชิ้นส่วนทุกชิ้นที่คุณทำมีคุณภาพยอดเยี่ยม แม้แต่งานแกะสลักและเครื่องประดับก็ดูประณีตขึ้น
p_farmer,Farmer,ชาวนา
p_farmer_d,You aren't afraid of getting your hands dirty. You can select good seeds and harvest a better crop.,คุณไม่กลัวมือเปื้อนดิน คุณคัดเมล็ดพันธุ์ดี ๆ และเก็บเกี่ยวผลผลิตที่ดีขึ้นได้
p_beekeeper2,Beekeeper,คนเลี้ยงผึ้ง
